administration,parcelLocation,totalArea,landPurpose,signTime,projectName,projectLocation,area,landSource,supplyType,landUsegeTerm,classification,landLevel,transferPrice,issue,paymentDate,paymentAmount,remark,landHolder,plotRatioUP,plotRatioLOWER,agreedDeliveryTime,agreedStartTime,agreedCompletionTime,actualStartTime,actualCompletionTime,approvedUnit,contractTime,crawlingTime,url,md5Mark,
四会市,四会市行政中心内（人力资源和社会保障局背后三角地）,0.75647,军事设施用地,2017-09-21,四会市地下停车场,四会市行政中心内（人力资源和社会保障局背后三角地）,0.75647,现有建设用地,划拨,,房地产业,房地产业土地级别：十级,0,,,,,四会市国有资产经营总公司,,,2017-09-21,2018-09-21,2019-09-21,2017-12-27,,四会市人民政府,2017-09-21,2020-04-15 11:24:06,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1586921035564&__boxModel__=true&op=page_content&sessionID=53571&pn=1,bf0e37f3221f75ee4310f10e7be74779,
新会区,崖门镇崖南渔港（土名）,0.0416,住宿餐饮用地,2015-07-21,酒店,崖门镇崖南渔港（土名）,0.0416,现有建设用地,挂牌出让,40,其他服务业,其他服务业土地级别：六级,93.6,1|,2015-08-20,93.6|, ,江门市新会区崖门国际游艇会有限公司,1.5,6.5,2015-08-20,2020-12-27,2021-12-27,,,江门市人民政府,2015-07-21,2020-04-15 11:24:06,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1586921036254&__boxModel__=true&op=page_content&sessionID=46789&pn=1,0f4ba0d7a8b5e3f3462f73e898671795,
化州市,化州市长岐镇东安村委会省道285线边,0.323835,其他普通商品住房用地,2014-11-24,化州市中拓房地产开发有限公司住宅用地项目,化州市长岐镇东安村委会省道285线边,0.323835,新增建设用地,挂牌出让,70,房地产业,房地产业土地级别：四级,258,1|,2014-12-24,258|, ,化州市中拓房地产开发有限公司,1,4.5,2018-12-24,2019-12-24,2022-12-24,,,化州市人民政府,2014-11-24,2020-04-15 11:24:07,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1586921036879&__boxModel__=true&op=page_content&sessionID=53436&pn=1,7295def37db3d0c002f3afb359f0f462,
罗湖区,罗湖区莲塘街道,1.999983,其他普通商品住房用地,2018-07-27,东海莲塘汇（富宝化纤厂）城市更新单元1-01号,罗湖区莲塘街道,1.999983,现有建设用地,协议出让,70,房地产业,房地产业土地级别：一级,149910.7175,1|2|,2018-07-27|2019-07-12,74955.3588|74955.3587|,  ,东海俊兆实业（深圳）有限公司,1,7.9,2018-07-12,2019-07-12,2022-07-12,,,深圳市罗湖区人民政府,2018-07-27,2020-04-15 11:24:07,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1586921034898&__boxModel__=true&op=page_content&sessionID=44440&pn=1,c1aaf05755518d51a1d75e3fe89ccd49,
化州市,化州市长岐镇东安村委会省道285线边,1.256502,其他普通商品住房用地,2014-11-24,化州市天悦房地产开发有限公司住宅用地项目,化州市长岐镇东安村委会省道285线边,1.256502,新增建设用地,挂牌出让,70,房地产业,房地产业土地级别：四级,517,1|,2014-12-24,517|, ,化州市天悦房地产开发有限公司,1,3.5,2019-12-24,2019-12-24,2022-12-24,,,化州市人民政府,2014-11-24,2020-04-15 11:24:07,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1586921037680&__boxModel__=true&op=page_content&sessionID=3172&pn=1,ab16e0b7d48cfaecc0dce47e81b5a13a,
龙岗区,龙城街道,0.146448,公路用地,2018-01-31,东都路,龙城街道,0.146448,现有建设用地,划拨,,国家机构,国家机构土地级别：五级,0,,,,,龙岗区龙城街道办事处,,,2018-01-31,2019-01-31,2020-01-31,2018-12-10,2019-11-13,深圳市人民政府,2018-01-31,2020-04-15 11:24:08,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1586921038250&__boxModel__=true&op=page_content&sessionID=36758&pn=1,258d9170981b4c1c5c50c511db91769e,
龙岗区,南湾街道,0.362986,公路用地,2018-01-31,南湾街道泰兴花园城市更新项目周边市政配套道路金平路（一期）,南湾街道,0.362986,现有建设用地,划拨,,国家机构,国家机构土地级别：五级,0,,,,,龙岗区南湾街道办事处,,,2018-01-31,2019-01-31,2020-01-31,2018-12-10,2019-11-13,深圳市人民政府,2018-01-31,2020-04-15 11:24:08,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1586921038785&__boxModel__=true&op=page_content&sessionID=33836&pn=1,90b5543b9bd8d5e8dd96943d77372dc5,
肇庆市本级,肇庆高新区滨江路东面、兴隆三街以北地段,1.521899,机关团体用地,2016-08-05,肇庆高新区检察室办公、办案用地项目,肇庆高新区滨江路东面、兴隆三街以北地段,1.521899,新增建设用地,划拨,,国家机构,国家机构土地级别：十级,,,,,,肇庆市人民检察院高新区检察室,,2.5,2016-08-05,2017-08-05,2018-08-05,2018-08-13,,肇庆高新区管委会人民政府,2016-08-05,2020-04-15 11:24:09,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1586921039660&__boxModel__=true&op=page_content&sessionID=13038&pn=1,0078992a7f47b37fc1b7afc33d0c6a9e,
韶关市本级,韶关市浈江区莞韶产业园浈江片区ZJ0101-08C号地块,7.398,工业用地,2019-01-05,韶关市ZJ0101-08C号地块,韶关市浈江区莞韶产业园浈江片区ZJ0101-08C号地块,7.398,新增建设用地,挂牌出让,50,其它,其它土地级别：四级,1495,1|2|,2018-12-27|2019-12-13,800|695|,  ,国粤（广东）投资集团有限公司,0.5,2,2019-12-18,2020-12-17,2022-10-16,,,韶关市人民政府,2019-01-05,2020-04-15 11:24:09,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1586921040248&__boxModel__=true&op=page_content&sessionID=59901&pn=1,b5087605145fda2ab4cabfd8a1e4ff85,
连南瑶族自治县,连南县三江镇五星村第九组白话仔,0.36331,科教用地,2016-01-02,连南县蓝天幼儿园建设项目,连南县三江镇五星村第九组白话仔,0.36331,新增建设用地,划拨,,教育业,教育业土地级别：八级,41.8847,,,,,连南瑶族自治县蓝天幼儿园,,1.8,2016-01-28,2016-06-28,2019-06-28,2016-01-03,2019-06-11,连南瑶族自治县人民政府,2016-01-02,2020-04-15 11:24:10,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1586921040629&__boxModel__=true&op=page_content&sessionID=18888&pn=1,dfa75a11d154c12ae0177eb16c999b02,
顺德区,佛山市顺德区容桂红旗社区居委会华基路以东康怡一街3号,0.081646,其他普通商品住房用地,2015-05-15,（容桂）商住用地,佛山市顺德区容桂红旗社区居委会华基路以东康怡一街3号,0.081646,现有建设用地,挂牌出让,70,房地产业,房地产业土地级别：四级,450,1|,2015-06-14,450|, ,广东科顺化工实业有限公司,1,2,2019-01-29,2020-01-28,2022-01-28,2018-09-28,,佛山市顺德区人民政府,2015-05-15,2020-04-15 11:24:11,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1586921042136&__boxModel__=true&op=page_content&sessionID=53634&pn=1,764356121f61a2434347db012dc1fd2b,
平远县,东石镇东石圩,0.00296,其他普通商品住房用地,2010-04-06,李兴北,东石镇东石圩,0.00296,现有建设用地,协议出让,70,居民服务业,居民服务业土地级别：十二级,0.2984,1|,2010-04-21,0.2984|, ,李兴北,,,2010-04-15,2010-04-15,2011-04-15,,,平远县人民政府,2010-04-06,2020-04-15 11:24:12,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1586921043337&__boxModel__=true&op=page_content&sessionID=40420&pn=1,254e21b8c609414f8ea366e7ee510890,
深圳市本级,龙岗区龙岗街道,0.185985,公路用地,2010-03-03,宝龙大道南土地,龙岗区龙岗街道,0.185985,现有建设用地,协议出让,20,其他服务业,其他服务业土地级别：五级,956.27,1|,2010-03-03,956.27|, ,中国石油化工股份有限公司深圳石油分公司,0,0.32,2010-03-04,2011-03-02,2012-03-02,2010-05-25,2010-11-30,深圳市人民政府,2010-03-03,2020-04-15 11:24:13,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1586921044047&__boxModel__=true&op=page_content&sessionID=73971&pn=1,15859020fa2ffddd0c69593a765ea307,
宝安区,光明街道公常路西侧、临光明与东莞交界处,0.30842,公共设施用地,2009-09-15,羌下收费站管理区,光明街道公常路西侧、临光明与东莞交界处,0.30842,新增建设用地,协议出让,50,城市公共交通业,城市公共交通业土地级别：四级,0.0001,1|,2009-09-15,0.0001|, ,深圳市交通运输委员会,,0.94,2009-09-15,2010-09-15,2011-03-01,2010-03-16,,深圳市人民政府,2009-09-15,2020-04-15 11:24:14,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1586921044784&__boxModel__=true&op=page_content&sessionID=8758&pn=1,014347c31d5f3f8e532ec1a5459f1290,
增城市,广州东部(增城)汽车产业基地创强路南,2.013802,工业用地,2009-09-15,广州西力机械有限公司,广州东部(增城)汽车产业基地创强路南,2.013802,新增建设用地,挂牌出让,50,通用设备制造业,通用设备制造业土地级别：三级,629,1|,2009-12-14,629|, ,广州西力机械有限公司,,1.6,2009-09-15,2010-03-14,2011-03-14,2010-01-26,2011-03-14,增城市人民政府,2009-09-15,2020-04-15 11:24:14,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1586921044067&__boxModel__=true&op=page_content&sessionID=765&pn=1,0a9490d360e545019c535324353171f0,
中山市本级,南头镇滘心村,0.272,其他普通商品住房用地,2008-01-10,关于中山市南头镇资产投资经营有限公司申请受让土地作商业住宅用地的批复,南头镇滘心村,0.272,新增建设用地,协议出让,70,房地产业,房地产业土地级别：五级,15.9102,1|,2008-01-10,15.9102|, ,中山市南头镇资产投资经营有限公司,0,2,2008-03-28,2013-01-09,2013-01-09,2009-08-20,,中山市人民政府,2008-01-10,2020-04-15 11:24:15,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1586921045634&__boxModel__=true&op=page_content&sessionID=97723&pn=1,34f427aa620a4cb882f8c74099cb7273,
深圳市本级,罗湖区,0.29,商务金融用地,2013-01-21,鹿丹大厦,罗湖区,0.29,现有建设用地,协议出让,40,房地产业,房地产业土地级别：一级,12069.59,1|,2013-01-21,12069.59|, ,深圳市城市建设投资发展有限公司,1,12.91,2013-01-21,2014-01-21,2015-01-21,2015-10-08,2016-09-22,深圳市人民政府,2013-01-21,2020-04-15 11:24:16,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1586921044772&__boxModel__=true&op=page_content&sessionID=48790&pn=1,174316f22d1972be554b67aff908e323,
清远市本级,清远市清城区东城街办莲塘村委会辖区范围内,8.627302,其他普通商品住房用地,2015-02-06,清远市德晟投资集团有限公司,清远市清城区东城街办莲塘村委会辖区范围内,8.627302,新增建设用地,挂牌出让,70,房地产业,房地产业土地级别：八级,24810,1|,2015-03-08,24810|, ,清远市德晟投资集团有限公司,1,2.29,2018-09-30,2019-09-30,2021-09-30,,,清远市人民政府,2015-02-06,2020-04-15 11:24:23,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1586921052807&__boxModel__=true&op=page_content&sessionID=77854&pn=1,b820044d2a251f5fb421740a6deae47c,
揭东县,揭东县曲溪镇,0.4272,仓储用地,2011-06-10,揭东县粮食局曲溪粮食管理所补办出让手续,揭东县曲溪镇,0.4272,现有建设用地,协议出让,50,仓储业,仓储业土地级别：十四等级,34.176,1|,2011-08-09,34.176|, ,揭东县粮食局曲溪粮食管理所,,,,,,,,揭东县人民政府,2011-06-10,2020-04-15 11:24:26,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1586921056336&__boxModel__=true&op=page_content&sessionID=46338&pn=1,f0660cedf31ad58165ae4b92bbf0c900,
从化市,从化市鳌头镇白石村、白兔村地段,1.352,工业用地,2012-06-11,从化市鳌头镇白石村、白兔村地段工业项目,从化市鳌头镇白石村、白兔村地段,1.352,新增建设用地,挂牌出让,50,汽车制造,汽车制造土地级别：二级,360,1|,2012-07-11,360|, ,广东海乔专用汽车技术开发有限公司,1,,2012-08-08,2020-11-13,2022-05-13,,,从化市人民政府,2012-06-11,2020-04-15 11:24:27,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1586921057636&__boxModel__=true&op=page_content&sessionID=57137&pn=1,9de3352d1e5f58c3a02782965a190e57,
兴宁市,青眼塘二街203房,0.000924,城镇住宅用地,2019-11-11,划拨土地补办出让,青眼塘二街203房,0.000924,现有建设用地,协议出让,70,房地产业,房地产业土地级别：四级,0.4592,1|,2019-11-26,0.4592|, ,陈枚云,,5.88,,,,,,兴宁市人民政府,2019-11-11,2020-04-15 11:24:27,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1586921060554&__boxModel__=true&op=page_content&sessionID=23244&pn=1,6dd9e5f789e8488e531325b4eb7a1056,
电白区,电白县博贺镇西葛村委会汕尾尖和南漏,22.87716,工业用地,2012-06-26,2011年度第三批次城镇建设用地土地使用权出让,电白县博贺镇西葛村委会汕尾尖和南漏,22.87716,新增建设用地,拍卖出让,50,农副食品加工业,农副食品加工业土地级别：五级,3948,1|,2012-07-06,3948|, ,茂名隆裕仓储有限公司,,1.5,2018-10-14,2019-10-14,2021-10-14,2019-12-30,,电白县人民政府,2012-06-26,2020-04-15 11:24:28,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1586921060980&__boxModel__=true&op=page_content&sessionID=22415&pn=1,4d958ddff88aaae6890ee5f57cf786da,
南海区,佛山市南海区罗村街道乐安开发区,0.0702,中低价位、中小套型普通商品住房用地,2012-06-25,城镇住宅用地,佛山市南海区罗村街道乐安开发区,0.0702,现有建设用地,协议出让,70,房地产业,房地产业土地级别：四级,100.3391,1|,2012-08-24,100.3391|, ,邓佑财、邓积、邓汇才、陈丽玲,1,2.7,,2020-12-25,2022-12-25,,,佛山市人民政府,2012-06-25,2020-04-15 11:24:29,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1586921061096&__boxModel__=true&op=page_content&sessionID=3375&pn=1,ea2a15679d830863ca48bf015cbdffd3,
乳源瑶族自治县,乳源县旧民族实验学校内,1.1382,廉租住房用地,2012-06-27,怡乐居（沙头岭廉租公租房）工程,乳源县旧民族实验学校内,1.1382,现有建设用地,划拨,,房地产业,房地产业土地级别：未评估地区,,,,,,乳源瑶族自治县财政局,1,3,,,,2012-10-08,2014-01-04,乳源瑶族自治县人民政府,2012-06-27,2020-04-15 11:24:30,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1586921060997&__boxModel__=true&op=page_content&sessionID=34407&pn=1,ea2a0b918694a7a505d5ad5ab52f54f5,
从化市,从化市城郊街大夫田村地段,1.5793,工业用地,2012-06-11,从化市城郊街大夫田村地段工业项目,从化市城郊街大夫田村地段,1.5793,新增建设用地,挂牌出让,50,摩托车制造,摩托车制造土地级别：二级,485,1|,2012-07-11,485|, ,广州林叶机电科技有限公司,1,,2012-08-08,2019-12-13,2021-06-13,,,从化市人民政府,2012-06-11,2020-04-15 11:24:30,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1586921061604&__boxModel__=true&op=page_content&sessionID=58962&pn=1,e7256f7a8430b41ba401eb4f8b052343,
丰顺县,丰顺县汤坑镇邓屋村高速出口圆盘边地块,0.052642,城镇住宅用地,2020-01-13,陈就庭,丰顺县汤坑镇邓屋村高速出口圆盘边地块,0.052642,新增建设用地,拍卖出让,其他商服用地40年; 城镇住宅用地70,房地产业,房地产业土地级别：十二级,240,1|,2020-02-12,240|, ,陈就庭,1,3.5,2020-02-21,2021-02-20,2024-02-20,,,丰顺县人民政府,2020-01-13,2020-04-15 11:24:31,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1586921061708&__boxModel__=true&op=page_content&sessionID=59034&pn=1,c045438a744b51dc4973a5841c8f7884,
中山市本级,中山市南朗镇濠涌村、榄边村,3.44806,工业用地,2015-01-14,化学药品原料药制造,中山市南朗镇濠涌村、榄边村,3.44806,新增建设用地,挂牌出让,50,医药制造业,医药制造业土地级别：五级,1567.1433,1|,2015-02-13,1567.1433|, ,中山万汉医药科技有限公司,1,,2015-02-27,2016-02-27,2019-02-26,2016-03-23,2019-06-28,中山市人民政府,2015-01-14,2020-04-15 11:24:32,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1586921062125&__boxModel__=true&op=page_content&sessionID=30060&pn=1,647859cf78b0ab2161d7a52b36af8bcd,
新丰县,新丰县丰城街道横江村、梅坑镇张田村(3号地块),5.905433,工业用地,2020-03-11,智能网联新能源汽车产业工业用地,新丰县丰城街道横江村、梅坑镇张田村(3号地块),5.905433,新增建设用地,挂牌出让,50,汽车制造,汽车制造土地级别：十一级,1121.4,1|,2020-04-10,1121.4|, ,韶关市金财投资集团有限公司,0.7,2,2020-09-11,2021-09-11,2024-09-11,,,新丰县人民政府,2020-03-11,2020-04-15 11:24:32,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1586921062512&__boxModel__=true&op=page_content&sessionID=28209&pn=1,c05e98dedf8d85327e267912c1f65a17,
增城市,广州市增城区朱村街朱村村,6,工业用地,2018-10-29,广州粤和供应链管理有限公司,广州市增城区朱村街朱村村,6,新增建设用地,挂牌出让,50,商务服务业,商务服务业土地级别：九级,4300,1|,2018-11-28,4300|, ,广州粤和供应链管理有限公司,1,3,2018-11-28,2020-11-27,2022-11-27,,,广州市增城区人民政府,2018-10-29,2020-04-15 11:24:35,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1586921064823&__boxModel__=true&op=page_content&sessionID=12172&pn=1,a8780b23e539bc604864a97e8b3f17d6,
丰顺县,丰顺县汤坑镇西市一路501房,0.00181,城镇住宅用地,2019-11-28,张秋春（补办出让）,丰顺县汤坑镇西市一路501房,0.00181,现有建设用地,协议出让,70,房地产业,房地产业土地级别：十二级,0.4364,1|,2019-12-08,0.4364|, ,张秋春,,5,2019-11-29,,,,,丰顺县人民政府,2019-11-28,2020-04-15 11:24:36,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1586921063761&__boxModel__=true&op=page_content&sessionID=87525&pn=1,6a6a7beb33d917cd6839e7cab6fc1f12,
始兴县,始兴县太平镇公园前路75号1栋A401,0.001511,医疗卫生用地,2020-03-05,始兴县太平镇公园前路75号1栋A401,始兴县太平镇公园前路75号1栋A401,0.001511,现有建设用地,协议出让,50,房地产业,房地产业土地级别：一级,2.2922,1|,2020-04-04,2.2922|, ,陈锦莲,,,,,,,,始兴县人民政府,2020-03-05,2020-04-15 11:24:36,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1586921065301&__boxModel__=true&op=page_content&sessionID=71909&pn=1,198803354fb578abbd19f99a91613bf7,
禅城区,佛山市禅城区季华七路北侧,1.230496,商务金融用地,2012-10-26,佛禅（挂）2012-017,佛山市禅城区季华七路北侧,1.230496,现有建设用地,挂牌出让,40,房地产业,房地产业土地级别：一级,11730,1|,2012-11-25,11730|, ,佛山市星星房地产开发有限公司,4,6,2012-12-12,2020-10-09,2023-10-08,,,,2012-10-26,2020-04-15 11:24:36,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1586921061609&__boxModel__=true&op=page_content&sessionID=8289&pn=1,01e9ba3647c80503bcbb9d183f63aa36,
广州市本级,均禾街清湖村,0.1907,城镇村道路用地,2020-03-02,道路、绿化用地,均禾街清湖村,0.1907,新增建设用地,划拨,,国家机构,国家机构土地级别：六级,,,,,,白云区土地开发中心,,,,2021-03-02,2023-03-02,,,广州市人民政府,2020-03-02,2020-04-15 11:24:37,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1586921066002&__boxModel__=true&op=page_content&sessionID=64234&pn=1,4b7ab16fb7bb8f56294262202038b687,
深圳市本级,观澜街道,2.125885,工业用地,2012-06-14,观澜樟坑径片区地块02,观澜街道,2.125885,新增建设用地(来自存量库),挂牌出让,50,医药制造业,医药制造业土地级别：五级,2095.99,1|,2012-06-14,2095.99|, ,华润三九医药股份有限公司,0,3,2012-06-15,2016-10-13,2020-04-30,2013-06-13,2018-09-07,深圳市人民政府,2012-06-14,2020-04-15 11:24:37,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1586921064332&__boxModel__=true&op=page_content&sessionID=75673&pn=1,af433648153520a71f4107d9e109d77c,
南海区,佛山市南海区狮山镇官窑前进路地段C3地块,3.92393,工业用地,2012-12-28,工业用地,佛山市南海区狮山镇官窑前进路地段C3地块,3.92393,新增建设用地,挂牌出让,50,汽车制造,汽车制造土地级别：五级,1319,1|,2013-01-27,1319|, ,佛山一汽四环汽车毯业有限公司,0.8,2.5,2012-12-28,2013-12-28,2014-12-28,2013-11-24,,佛山市人民政府,2012-12-28,2020-04-15 11:24:39,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1586921068286&__boxModel__=true&op=page_content&sessionID=59194&pn=1,00ec37389d7ce8d5d4bf6c828f6019b4,
揭东县,揭东县霖磐镇联东村南塘山东侧 ,0.14788,商务金融用地,2013-03-14,揭东县农村信用合作联社申请划拨补办出让,揭东县霖磐镇联东村南塘山东侧,0.14788,现有建设用地,协议出让,40,其他金融服务,其他金融服务土地级别：十级,28.6296,1|,2013-03-21,28.6296|, ,揭东县农村信用合作联社,,,,,,,,揭东县人民政府,2013-03-14,2020-04-15 11:24:48,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1586921077552&__boxModel__=true&op=page_content&sessionID=45893&pn=1,3aee948d6b93b37ae8e3d6fe20b91623,
东莞市本级,黄江镇黄牛埔村,4.413563,其他普通商品住房用地,2016-11-21,东莞市飞马物流有限公司,黄江镇黄牛埔村,4.413563,现有建设用地,协议出让,70,房地产业,房地产业土地级别：一级,3336.653628,1|,2016-12-21,3336.653628|, ,东莞市飞马物流有限公司,1,1.8,2016-11-21,2017-11-20,2019-11-20,,,东莞市人民政府,2016-11-21,2020-04-15 11:24:49,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1586921078621&__boxModel__=true&op=page_content&sessionID=13237&pn=1,9b653b52e7b22ddb833ddf5daced0145,
南海区,佛山市南海区西樵镇海舟村、儒溪村地段,6.5295,工业用地,2012-07-04,工业用地,佛山市南海区西樵镇海舟村、儒溪村地段,6.5295,新增建设用地,挂牌出让,50,专用设备制造业,专用设备制造业土地级别：五级,2618,1|2|,2012-08-03|2012-10-02,1309|1309|,  ,广东森电节能科技实业有限公司,0.8,2,2018-11-26,2019-11-26,2021-11-26,2013-03-12,,佛山市人民政府,2012-07-04,2020-04-15 11:24:50,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1586921079380&__boxModel__=true&op=page_content&sessionID=6788&pn=1,93ff3f9702d4e170e0e0545c28a76cb9,
揭东县,揭东开发区新型工业园夏新路南侧,11.5744,工业用地,2017-04-21,揭东开发区新型工业园国有建设用地使用权挂牌出让,揭东开发区新型工业园夏新路南侧,11.5744,新增建设用地,挂牌出让,50,其它,其它土地级别：十级,6760,1|,2017-07-14,6760|, ,国家电投集团揭东能源有限公司,0.8,2,2017-06-05,2018-06-05,2020-06-05,2019-06-05,,揭东区人民政府,2017-04-21,2020-04-15 11:24:51,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1586921080511&__boxModel__=true&op=page_content&sessionID=56413&pn=1,00b420155f0bc4256b17c378aeea0ffa,
深圳市本级,坪山区秀新社区,0.596016,公共设施用地,2017-06-08,公用设施用地,坪山区秀新社区,0.596016,新增建设用地(来自存量库),协议出让,50,国家机构,国家机构土地级别：五级,0.0001,1|,2017-06-08,0.0001|, ,深圳市公安局,,,2017-06-08,2018-06-07,2018-06-08,2018-12-10,,,2017-06-08,2020-04-15 11:24:52,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1586921080912&__boxModel__=true&op=page_content&sessionID=98475&pn=1,a7f248f18f777966b1a339bf5d36d19f,
惠阳区,秋长街道岭湖村,2.6803,其他普通商品住房用地,2014-03-21,商业、住宅,秋长街道岭湖村,2.6803,现有建设用地,挂牌出让,其他商服用地40年; 其他普通商品住房用地70,房地产业,房地产业土地级别：八级,2113,1|,2014-04-20,2113|, ,惠州市德威集团有限公司,1,2,2017-10-25,2018-10-25,2021-10-25,2020-03-31,,惠阳区人民政府,2014-03-21,2020-04-15 11:24:52,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1586921081575&__boxModel__=true&op=page_content&sessionID=63001&pn=1,022b52cc89133763d46da93f1ca7cd1b,
南海区,南海区丹灶镇银河村大杏股份合作经济社“坑外”地段,9.77424,仓储用地,2014-11-18,物流仓储用地,南海区丹灶镇银河村大杏股份合作经济社“坑外”地段,9.77424,新增建设用地,划拨,,群众团体、社会团体和宗教组织,群众团体、社会团体和宗教组织土地级别：未评估地区,0,,,,,佛山市南海区丹灶镇银河村大杏股份合作经济社,0.8,2,2014-11-18,2020-01-04,2021-01-04,,,佛山市南海区人民政府,2014-11-18,2020-04-15 11:24:53,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1586921082270&__boxModel__=true&op=page_content&sessionID=35848&pn=1,d3ac0d2a4fc1cd05200c824554e219c7,
怀集县,怀集县怀城镇石龙施屋岗,4.5188,其他普通商品住房用地,2012-07-05,房地产项目,怀集县怀城镇石龙施屋岗,4.5188,新增建设用地,挂牌出让,其他商服用地40年; 其他普通商品住房用地70,房地产业,房地产业土地级别：十一级,3728,1|,2012-08-04,3728|, ,怀集县城市建设投资开发有限公司,1,2.8,2019-12-27,2020-12-26,2022-12-26,,,怀集县人民政府,2012-07-05,2020-04-15 11:24:53,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1586921083621&__boxModel__=true&op=page_content&sessionID=52256&pn=1,7bb5d6abdd0c2ca9972ee6bf522aa4e9,
南海区,佛山市南海区桂城平洲三山地段,27.75633,公共设施用地,2012-12-29,公共交通设施用地,佛山市南海区桂城平洲三山地段,27.75633,现有建设用地,划拨,,铁路运输业,铁路运输业土地级别：一级,0,,,,,佛山市南海区铁路投资有限公司,1,3,2012-12-29,2013-12-29,2014-12-29,2013-11-10,,佛山市南海区人民政府,2012-12-29,2020-04-15 11:24:55,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1586921084665&__boxModel__=true&op=page_content&sessionID=25760&pn=1,328747702a296ffc89a20b3e448bd585,
顺德区,佛山新城华章东二路以西、君兰南一路以北、君兰路以南、华章东一路以东,0.778246,商务金融用地,2012-07-30,商业金融业用地,佛山新城华章东二路以西、君兰南一路以北、君兰路以南、华章东一路以东,0.778246,现有建设用地,挂牌出让,40,其他金融服务,其他金融服务土地级别：三级,10620,1|,2012-08-29,10620|, ,佛山市宝能投资有限公司,,7.82,2012-09-04,2013-05-30,2017-05-30,2013-05-20,2019-12-27,佛山市人民政府,2012-07-30,2020-04-15 11:24:55,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1586921085789&__boxModel__=true&op=page_content&sessionID=46033&pn=1,27161a3c53cd0a51cd8ead0d258c46c3,
